2026-03-17 16:32:43 | INFO     | rag_service:195 | [7ea0c03d-1476-422a-bd03-ccf52326641c] Index persisted → C:\Users\ADMIN\PycharmProjects\pdf_analyzer\data\vectorstore\7ea0c03d-1476-422a-bd03-ccf52326641c
2026-03-17 16:32:43 | INFO     | rag_service:195 | [7ea0c03d-1476-422a-bd03-ccf52326641c] FAISS index ready ✓
2026-03-17 16:32:43 | INFO     | analysis_service:195 | [7ea0c03d-1476-422a-bd03-ccf52326641c] [100%] Document ready for chat ✓
2026-03-17 16:32:43 | INFO     | analysis_service:195 | [7ea0c03d-1476-422a-bd03-ccf52326641c] Pipeline complete — 2 pages, 2 sections, 2 chunks
2026-03-17 16:32:43 | INFO     | pdf_service:195 | [bee344bc-eb4d-41b0-bbd4-d971c39267bd] Saved 'Student_Performance_Project_Report.pdf' → C:\Users\ADMIN\PycharmProjects\pdf_analyzer\data\uploads\bee344bc-eb4d-41b0-bbd4-d971c39267bd_Student_Performance_Project_Report.pdf (466,371 bytes)
2026-03-17 16:32:43 | INFO     | pdf_service:195 | [bee344bc-eb4d-41b0-bbd4-d971c39267bd] Document state created — status=uploaded
2026-03-17 16:32:43 | INFO     | analysis_service:195 | [bee344bc-eb4d-41b0-bbd4-d971c39267bd] [5%] Loading document ...
2026-03-17 16:32:44 | INFO     | analysis_service:195 | [bee344bc-eb4d-41b0-bbd4-d971c39267bd] [20%] Extracting text and detecting sections ...
2026-03-17 16:32:44 | INFO     | extraction_service:195 | [bee344bc-eb4d-41b0-bbd4-d971c39267bd] Starting extraction for 'Student_Performance_Project_Report.pdf'
2026-03-17 16:32:44 | INFO     | extraction_service:195 | [bee344bc-eb4d-41b0-bbd4-d971c39267bd] Extracted 2 pages, 283 words
2026-03-17 16:32:44 | INFO     | extraction_service:195 | [bee344bc-eb4d-41b0-bbd4-d971c39267bd] Detected 2 sections: ['results', 'results']
2026-03-17 16:32:44 | INFO     | extraction_service:195 | [bee344bc-eb4d-41b0-bbd4-d971c39267bd] Generated 2 chunks
2026-03-17 16:32:44 | INFO     | extraction_service:195 | [bee344bc-eb4d-41b0-bbd4-d971c39267bd] Extraction complete ✓
2026-03-17 16:32:44 | INFO     | analysis_service:195 | [bee344bc-eb4d-41b0-bbd4-d971c39267bd] [50%] Extracted 2 pages, 2 sections, 2 chunks
2026-03-17 16:32:44 | INFO     | analysis_service:195 | [bee344bc-eb4d-41b0-bbd4-d971c39267bd] [65%] Generating embeddings and building vector index ...
